Ticker,Company Name,Market Cap,Website
BLL,Ball Corporation Common Stock,,
BLOX,Infoblox Inc. Common Stock,,
BLT,"Blount International, Inc. Common Stock",,
BLW,Blackrock Limited Duration Income Trust,472260192,https://www.blackrock.com/investing/products/240191/blackrock-limited-duration-income-trust-usd-fund
BLX,"Banco Latinoamericano de Comercio Exterior, S.A.",634846400,https://www.bladex.com
BMA,Banco Macro S.A.  ADR (representing Ten Class B Common Shares),846675008,https://www.macro.com.ar
BME,Blackrock Health Sciences Trust,553106752,https://www.blackrock.com/investing/products/240227/blackrock-health-sciences-trust-usd-fund
BMI,"Badger Meter, Inc. Common Stock",3416084224,https://www.badgermeter.com
BMO,Bank Of Montreal Common Stock,64423976960,https://www.bmo.com
BMR,Biomed Realty Trust Common Stock,,
BMS,"Bemis Company, Inc. Common Stock",,
BMY,Bristol,175662317568,https://www.bms.com
BNJ,BlackRock New Jersey Municipal Income Trust,,
BNK,"C1 Financial, Inc. Common Stock",,
BNS,Bank Nova Scotia Halifax Pfd 3 Ordinary Shares,64578510848,https://www.scotiabank.com
BNY,BlackRock New York Municipal Income Trust,251559168,https://www.blackrock.com/investing/products/240237/blackrock-new-york-municipal-income-trust-usd-fund
BOCA,"Banc of California, Inc. Senior Note due 4/15/2020",,
BOE,Blackrock Global Blackrock Global Opportunities Equity Trust Common Shares of Beneficial Interest,628728448,https://www.blackrock.com/investing/products/240197/blackrock-global-opportunities-equity-trust-fund
BOH,Bank of Hawaii Corporation Common Stock,3283195392,https://www.boh.com
BOI,Brookfield Mortgage Opportunity Income Fund Inc. Common Stock,,
BOOT,"Boot Barn Holdings, Inc. Common Stock",1905339136,https://www.bootbarn.com
BORN,China New Borun Corporation American Depositary Shares,,
BOXC,Brookfield Canada Office Properties,,
BP,BP p.l.c. Common Stock,114916999168,https://www.bp.com
BPI,"Bridgepoint Education, Inc.",,
BPK,Blackrock Municipal 2018 Term Trust Blackrock Municipal 2018 Term Trust,,
BPL,Buckeye Partners L.P. Common Stock,,
BPT,BP Prudhoe Bay Royalty Trust Common Stock,284620000,https://bpt.q4web.com/home/default.aspx
BPY,Brookfield Property Partners L.P. Limited Partnership Units,,
BPZ,"BPZ Resources, Inc Common Stock",,
BQH,Blackrock New York Municipal Bond Trust Common Shares of Beneficial Interest,,
BR,"Broadridge Financial Solutions, Inc.Common Stock",17303670784,https://www.broadridge.com
BRC,Brady Corporation Common Stock,2503970048,https://www.bradyid.com
BRFS,BRF S.A.,1566004864,https://www.brf-global.com
BRK.A,Berkshire Hathaway Inc. Common Stock,,
BRK.B,Berkshire Hathaway Inc. New Common Stock,,
BRO,"Brown & Brown, Inc. Common Stock",16558695424,https://www.bbinsurance.com
BRP,Brookfield Residential Properties Inc. Common Stock,3302458112,https://www.baldwinriskpartners.com
BRS,Bristow Group Inc. Common Stock,,
BRSS,"Global Brass and Copper Holdings, Inc. Common Stock",,
BRT,BRT Realty Trust Common Stock,376034592,https://www.brtapartments.com
BRX,Brixmor Property Group Inc. Common Stock,6854482944,https://www.brixmor.com
BSAC,Banco Santander,7019613184,https://banco.santander.cl
BSBR,"Banco Santander Brasil SA American Depositary Shares, each representing one unit",38902497280,https://www.santander.com.br
BSD,BlackRock Strategic Municipal Trust Inc. (The) Common Stock,,
BSE,Blackrock New York Municipal Income Quality Trust Common Shares of Beneficial Interest,,
BSI,Alon Blue Square Israel Ltd.,,
BSL,Blackstone GSO Senior Floating Rate Term Fund Common Shares of Beneficial Interest,171116544,https://www.blackstone.com/the-firm/asset-management/registered-funds#c=blackstone-gso-senior-floating-rate-term-fund&t=Fact+Sheet
BSMX,"Grupo Financiero Santander Mexico S.A. B. de C.V. American Depositary Shares, each representing five Series B shares",9478882304,https://www.santander.com.mx
BST,BlackRock Science and Technology Trust Common Shares of Beneficial Interest,1056151488,https://www.blackrock.com/investing/products/270141/blackrock-science-and-technology-trust-fund
BSX,Boston Scientific Corporation Common Stock,62542807040,https://www.bostonscientific.com
BT,BT Group plc Common Stock,,
BTA,BlackRock Long,128766848,https://www.blackrock.com/investing/products/240220/blackrock-longterm-municipal-advantage-trust-usd-fund
BTE,Baytex Energy Corp,,
BTF,"Boulder Total Return Fund, Inc. Common Stock",,
BTH,"Blyth, Inc. New Common Stock",,
BTO,John Hancock Financial Opportunities Fund Common Stock,688475840,https://www.jhfunds.com/Fund/Overview.aspx?ProductType=ClosedEnd&FundID=GC09&ClassCode=CE&BackToFundTableType=Price
BTT,BlackRock Municipal Target Term Trust Inc. (The) Common Shares of Beneficial Interest,1511640064,https://www.blackrock.com/investing/products/241461/blackrock-municipal-target-term-trust-fund
BTU,Peabody Energy Corporation Common Stock,3804097280,https://www.peabodyenergy.com
BTZ,BlackRock Credit Allocation Income Trust,981529472,https://www.blackrock.com/investing/products/240168/blackrock-credit-allocation-income-trust-usd-fund
BUD,Anheuser,98791858176,https://www.ab-inbev.com
BUI,BlackRock Utility and Infrastructure Trust Common Shares of Beneficial Interest,443572512,https://www.blackrock.com/investing/products/240173/blackrock-utility-and-infrastructure-trust-fund
BURL,"Burlington Stores, Inc. Common Stock",13065929728,https://www.burlingtoninvestors.com
BVN,Buenaventura Mining Company Inc.,2077613824,https://www.buenaventura.com
BWA,BorgWarner Inc. Common Stock,10072779776,https://www.borgwarner.com
BWC,Babcock Common Stock,297006560,https://www.bluewhaleipo.com
BWG,Legg Mason BW Global Income Opportunities Fund Inc. Common Stock,136853168,https://www.leggmason.com/en-us/products/closed-end-funds/legg-mason-bw-global-income-opportunities-fund-inc.html
BWP,Boardwalk Pipeline Partners LP Common Units,,
BWS,"Brown Shoe Company, Inc. Common Stock",,
BX,The Blackstone Group L.P. Common Units Representing Limited Partnership Interests,62929752064,https://www.blackstone.com
BXC,Bluelinx Holdings Inc. Common Stock,660830784,https://www.bluelinxco.com
BXE,Bellatrix Exploration Ltd Ordinary Shares (Canada),,
BXMT,"Blackstone Mortgage Trust, Inc. Common Stock",4159343360,https://www.blackstonemortgagetrust.com
BXMX,Nuveen S&P 500 Buy,1416624000,https://www.nuveen.com/CEF/Product/Overview.aspx?FundCode=BXMX
BXP,"Boston Properties, Inc. Common Stock",10956359680,https://www.bostonproperties.com
BXS,"BancorpSouth, Inc. Common Stock",,
BYD,Boyd Gaming Corporation Common Stock,6710426624,https://www.boydgaming.com
BYM,Blackrock Municipal Income Quality Trust Common Shares of Beneficial Interest,308215200,https://www.blackrock.com/investing/products/240256/blackrock-insured-municipal-income-trust-usd-fund
BZH,"Beazer Homes USA, Inc. Common Stock",429424896,https://www.beazer.com
BZT,"Beazer Homes USA, Inc. Tangible Equity Unit",,
C,"Citigroup, Inc. Common Stock",95721185280,https://www.citigroup.com
C.A,"Citigroup Inc. Warrants Class A expiring January 4, 2019",,
C.B,"Citigroup Inc. Class B Warant expiring October 28, 2018",,
CAB,Cabela's Inc Class A Common Stock,,
CACI,"CACI International, Inc. Class A Common Stock",7129461760,https://www.caci.com
CAE,CAE Inc. Ordinary Shares,6839712256,https://www.cae.com
CAF,Morgan Stanley China A Share Fund Inc. Common Stock,288179360,https://www.morganstanley.com/msim/portal/site/US/template.PAGE/?msimPageTitle=productdetail_us_fp_ii&u=a2050c555a53daf33d3afb1051a9e009&fund=1365&sc=NO
CAG,"ConAgra Foods, Inc. Common Stock",17686169600,https://www.conagrabrands.com
CAH,"Cardinal Health, Inc. Common Stock",22103451648,https://www.cardinalhealth.com
CAJ,"Canon, Inc. American Depositary Shares",24119289856,https://global.canon
CALX,"Calix, Inc Common Stock",4366662144,https://www.calix.com
CAM,Cameron International Corporation Common Stock,,
CAP,"Cai International, Inc. Common Stock",,
CAPL,CrossAmerica Partners LP Common Units representing limited partner interests,753286976,https://www.crossamericapartners.com
CAS,Castle (A.M.) & Co. Common Stock,,
CAT,"Caterpillar, Inc. Common Stock",128159981568,https://www.caterpillar.com
CATO,Cato Corporation (The) Class A Common Stock,228398208,https://www.catofashions.com
CB,Chubb Corporation (The) Common Stock,92243181568,https://www.chubb.com/us-en
CBA,ClearBridge American Energy MLP Fund Inc. Common Stock,,
CBB,Cincinnati Bell Inc. Common Stock,,
CBD,Companhia Brasileira de Distribuicao ADS,899291584,https://www.gpari.com.br
CBG,CBRE Group Inc Common Stock Class A,,
CBI,Chicago Bridge & Iron Company N.V. Common Stock,,
CBK,Christopher & Banks Corporation Common Stock,,
CBL,"CBL & Associates Properties, Inc. Common Stock",577470656,https://www.cblproperties.com
CBM,Cambrex Corporation Common Stock,,
CBPX,"Continental Building Products, Inc. Common Stock",,
CBR,"Ciber, Inc. Common Stock",,
CBS,CBS Corporation Class B Common Stock,,
CBS.A,CBS Corporation CBS Corporation Class A Common Stock,,
CBT,Cabot Corporation Common Stock,4192083712,https://www.cabotcorp.com
CBU,"Community Bank System, Inc. Common Stock",3489341952,https://cbna.com
CBZ,"CBIZ, Inc. Common Stock",2568666368,https://www.cbiz.com
CCC,Calgon Carbon Corporation Common Stock,,
CCE,Coca,,
CCG,"Campus Crest Communities, Inc. Common Stock",,
CCI,Crown Castle International Corp. (REIT) Common Stock,60560281600,https://www.crowncastle.com
CCJ,Cameco Corporation Common Stock,9630680064,https://www.cameco.com
CCK,"Crown Holdings, Inc.",10565732352,https://www.crowncork.com
CCL,Carnival Corporation Common Stock,11342843904,https://www.carnivalcorp.com
CCM,Concord Medical Services Holdings Limited ADS (Each represents three ordinary shares),67730832,https://www.concordmedical.com
CCO,"Clear Channel Outdoor Holdings, Inc. Clear Channel Outdoor Holdings, Inc. Class A Common Stock",513067360,https://www.clearchanneloutdoor.com
CCS,"Century Communities, Inc. Common Stock",1620185600,https://www.centurycommunities.com
CCSC,"Country Style Cooking Restaurant Chain Co., Ltd American Depositary Shares, each representing four ordinary shares",,
CCU,"Compania Cervecerias Unidas, S.A. Common Stock",2189299456,https://www.ccu.cl
CCV,Comcast Corporation 5.00% Notes due 2061,626250048,https://v.churchillcapitalcorp.com
CCZ,Comcast Holdings ZONES,52580958208,
CDE,"Coeur Mining, Inc. Common Stock",876213184,https://www.coeur.com
CDE.W,"Coeur Mining, Inc. Warrant expiring April 16, 2017",,
CDI,CDI Corporation Common Stock,,
CDR,"Cedar Realty Trust, Inc. Common Stock",,
CE,Celanese Corporation Celanese Corporation Series A Common Stock,11346535424,https://www.celanese.com
CEA,China Eastern Airlines Corporation Ltd. Common Stock,11933878272,https://www.ceair.com
CEB,Corporate Executive Board Company (The) Common Stock,,
CEE,"Central Europe, Russia and Turkey Fund, Inc. (The) Common Stock",48740328,https://fundsus.deutscheam.com/EN/products/central-eastern-europe-fund.jsp?core-key=2506#
CEL,"Cellcom Israel, Ltd. Ordinary Shares",,
CELP,"Cypress Energy Partners, L.P. Common Units representing limited partner interests",,
CEM,ClearBridge Energy MLP Fund Inc. Common Stock,493045792,https://www.leggmason.com/en-us/products/closed-end-funds/clearbridge-energy-mlp-fund-inc.html
CEN,Center Coast MLP & Infrastructure Fund Common Shares of Beneficial Interest,89626312,https://www.centercoastcap.com/closed-end-fund
CEO,CNOOC Limited Common Stock,53212528640,http://www.cnoocltd.com
CEQP,Crestwood Equity Partners LP,1817708800,https://www.crestwoodlp.com
CF,"CF Industries Holdings, Inc. Common Stock",22800836608,https://www.cfindustries.com
CFG,"Citizens Financial Group, Inc. Common Stock",17712873472,https://www.citizensbank.com
CFI,"Culp, Inc. Common Stock",,
CFN,CareFusion Corporation Common Stock,,
CFR,"Cullen/Frost Bankers, Inc. Common Stock",9306212352,https://www.frostbank.com
CFX,Colfax Corporation Common Stock,,
CGA,"China Green Agriculture, Inc. Common Stock",44980196,https://www.cgagri.com
CGG,CGG,,
CGI,"Celadon Group, Inc. Common Stock",,
CHA,China Telecom Corp Ltd ADS,,
CHD,"Church & Dwight Company, Inc. Common Stock",19642499072,https://churchdwight.com
CHE,Chemed Corp,7899173888,https://www.chemed.com
CHGG,"Chegg, Inc. Common Stock",4139686400,https://www.chegg.com
CHH,"Choice Hotels International, Inc. Common Stock",6670509568,https://www.choicehotels.com
CHK,Chesapeake Energy Corporation Common Stock,12115786752,https://www.chk.com
CHKR,Chesapeake Granite Wash Trust Common Units representing beneficial interests in the Trust,57502500,https://www.chkgranitewashtrust.com
CHL,China Mobile Limited Common Stock,,
CHMI,Cherry Hill Mortgage Investment Corporation Common Stock,105287280,https://www.chmireit.com
CHMT,Chemtura Corp. Common Stock,,
CHN,"China Fund, Inc. (The) Common Stock",125609704,https://www.chinafundinc.com
CHS,"Chico's FAS, Inc. Common Stock",748731648,https://www.chicosfas.com
CHSP,Chesapeake Lodging Trust Common Shares of Beneficial Interest,,
CHT,"Chunghwa Telecom Co., Ltd.",27189862400,https://www.cht.com.tw
CHU,China Unicom (Hong Kong) Ltd Common Stock,,
